"","plot","species","size","group","method","elev"
"49","H2","Lasioglossum albipes",8,"wild bees","transect walks",985
"50","H2","Megachile circumcincta",12,"wild bees","transect walks",985
"51","H2","Andrena falsifica",6.5,"wild bees","transect walks",985
"52","H2","Halictus tumulorum",7,"wild bees","transect walks",985
"53","H2","Osmia bicolor",10.5,"wild bees","transect walks",985
"54","H2","Chelostoma florisomne",9,"wild bees","transect walks",985
"55","HO1","Andrena carantonica",13,"wild bees","transect walks",828
"56","HO1","Andrena ovatula",9.5,"wild bees","transect walks",828
"57","HO1","Andrena intermedia",11.5,"wild bees","transect walks",828
"58","HO1","Lasioglossum laevigatum",8.5,"wild bees","transect walks",828
"59","HO1","Anthophora furcata",11.5,"wild bees","transect walks",828
"60","HO1","Lasioglossum albipes",8,"wild bees","transect walks",828
"61","HO1","Andrena fucata",11.5,"wild bees","transect walks",828
"62","T5","Bombus pascuorum",12,"wild bees","transect walks",749
"63","T5","Bombus hortorum",13.5,"wild bees","transect walks",749
"64","T5","Lasioglossum laevigatum",8.5,"wild bees","transect walks",749
"65","T5","Bombus soroeensis",12,"wild bees","transect walks",749
"66","HO4","Bombus wurflenii",14.5,"wild bees","transect walks",1546
"67","HO4","Andrena ruficrus",9.5,"wild bees","transect walks",1546
"68","HO4","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1546
"69","HO4","Bombus pratorum",11.5,"wild bees","transect walks",1546
"70","W1","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",815
"71","W2","Bombus lapidarius",14,"wild bees","transect walks",1016
"72","W2","Halictus confusus",7,"wild bees","transect walks",1016
"73","W2","Ceratina cyanea",6.5,"wild bees","transect walks",1016
"74","W2","Hylaeus confusus",7,"wild bees","transect walks",1016
"75","W3","Bombus pascuorum",12,"wild bees","transect walks",1162
"76","W3","Lasioglossum albipes",8,"wild bees","transect walks",1162
"77","W3","Hylaeus annulatus",7,"wild bees","transect walks",1162
"78","W3","Bombus soroeensis",12,"wild bees","transect walks",1162
"79","W3","Bombus wurflenii",14.5,"wild bees","transect walks",1162
"80","W3","Bombus hortorum",13.5,"wild bees","transect walks",1162
"81","W3","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1162
"82","W3","Chelostoma florisomne",9,"wild bees","transect walks",1162
"83","W3","Halictus rubicundus",10.5,"wild bees","transect walks",1162
"84","W3","Lasioglossum cupromicans",5.5,"wild bees","transect walks",1162
"85","WmB3","Bombus soroeensis",12,"wild bees","transect walks",1418
"86","WmB3","Bombus hortorum",13.5,"wild bees","transect walks",1418
"87","WmB3","Bombus wurflenii",14.5,"wild bees","transect walks",1418
"88","WmB3","Chelostoma florisomne",9,"wild bees","transect walks",1418
"89","WmB3","Bombus sylvestris",15,"wild bees","transect walks",1418
"90","WmB3","Lasioglossum albipes",8,"wild bees","transect walks",1418
"91","WmA2","Sphecodes monilicornis",8.5,"wild bees","transect walks",1240
"92","WmA2","Andrena subopaca",7,"wild bees","transect walks",1240
"93","WmA2","Nomada integra",7,"wild bees","transect walks",1240
"94","WmA2","Nomada flavoguttata",6,"wild bees","transect walks",1240
"95","WmA3","Bombus pratorum",11.5,"wild bees","transect walks",1423
"96","WmA3","Lasioglossum albipes",8,"wild bees","transect walks",1423
"97","WmA3","Bombus wurflenii",14.5,"wild bees","transect walks",1423
"98","WmB1","Andrena subopaca",7,"wild bees","transect walks",962
"99","WmB1","Chelostoma florisomne",9,"wild bees","transect walks",962
"100","WmB1","Bombus wurflenii",14.5,"wild bees","transect walks",962
"101","WmB1","Lasioglossum albipes",8,"wild bees","transect walks",962
"102","WmB1","Bombus pascuorum",12,"wild bees","transect walks",962
"103","WmB1","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",962
"104","H4","Bombus wurflenii",14.5,"wild bees","transect walks",1326
"105","H4","Halictus rubicundus",10.5,"wild bees","transect walks",1326
"106","H4","Bombus pratorum",11.5,"wild bees","transect walks",1326
"107","H4","Lasioglossum albipes",8,"wild bees","transect walks",1326
"108","H4","Bombus pascuorum",12,"wild bees","transect walks",1326
"109","H4","Andrena subopaca",7,"wild bees","transect walks",1326
"110","H4","Sphecodes ferruginatus",7.5,"wild bees","transect walks",1326
"111","H5","Bombus pascuorum",12,"wild bees","transect walks",1580
"112","H5","Sphecodes ferruginatus",7.5,"wild bees","transect walks",1580
"113","H5","Bombus pratorum",11.5,"wild bees","transect walks",1580
"114","W6","Bombus mucidus",14,"wild bees","transect walks",1805
"115","W7","Lasioglossum calceatum",8.5,"wild bees","transect walks",2017
"116","W7","Lasioglossum morio",5.5,"wild bees","transect walks",2017
"117","W7","Lasioglossum albipes",8,"wild bees","transect walks",2017
"118","W7","Panurginus montanus",6.5,"wild bees","transect walks",2017
"119","W7","Lasioglossum fratellum",7,"wild bees","transect walks",2017
"120","WmB5","Lasioglossum fratellum",7,"wild bees","transect walks",1812
"121","WmB5","Bombus wurflenii",14.5,"wild bees","transect walks",1812
"122","WmB5","Sphecodes hyalinatus",5.5,"wild bees","transect walks",1812
"123","WmB5","Andrena carantonica",13,"wild bees","transect walks",1812
"124","WmB5","Lasioglossum albipes",8,"wild bees","transect walks",1812
"125","H6","Bombus monticola",12.5,"wild bees","transect walks",1807
"126","H7","Bombus monticola",12.5,"wild bees","transect walks",1986
"127","H7","Bombus wurflenii",14.5,"wild bees","transect walks",1986
"128","WmA4","Lasioglossum fratellum",7,"wild bees","transect walks",1770
"129","WmA4","Bombus sylvestris",15,"wild bees","transect walks",1770
"130","T1","Lasioglossum pauxillum",5.5,"wild bees","transect walks",716
"131","T1","Lasioglossum morio",5.5,"wild bees","transect walks",716
"132","T1","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",716
"133","W1","Bombus wurflenii",14.5,"wild bees","transect walks",815
"134","W1","Bombus pascuorum",12,"wild bees","transect walks",815
"135","W1","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",815
"136","W1","Lasioglossum albipes",8,"wild bees","transect walks",815
"137","W1","Lasioglossum cupromicans",5.5,"wild bees","transect walks",815
"138","W2","Megachile willughbiella",13.5,"wild bees","transect walks",1016
"139","W2","Halictus rubicundus",10.5,"wild bees","transect walks",1016
"140","W2","Lasioglossum cupromicans",5.5,"wild bees","transect walks",1016
"141","W2","Bombus pascuorum",12,"wild bees","transect walks",1016
"142","W5","Lasioglossum cupromicans",5.5,"wild bees","transect walks",1446
"143","W5","Bombus pratorum",11.5,"wild bees","transect walks",1446
"144","W5","Bombus wurflenii",14.5,"wild bees","transect walks",1446
"145","W5","Megachile alpicola",9.5,"wild bees","transect walks",1446
"146","T4","Chelostoma campanularum",6,"wild bees","transect walks",644
"147","T4","Lasioglossum calceatum",8.5,"wild bees","transect walks",644
"148","T4","Melitta haemorrhoidalis",12.5,"wild bees","transect walks",644
"149","T4","Bombus pratorum",11.5,"wild bees","transect walks",644
"150","T4","Andrena minutula",6,"wild bees","transect walks",644
"151","T5","Halictus tumulorum",7,"wild bees","transect walks",749
"152","T5","Lasioglossum albipes",8,"wild bees","transect walks",749
"153","T5","Lasioglossum calceatum",8.5,"wild bees","transect walks",749
"154","T5","Lasioglossum pauxillum",5.5,"wild bees","transect walks",749
"155","T5","Lasioglossum morio",5.5,"wild bees","transect walks",749
"156","WmB1","Bombus hortorum",13.5,"wild bees","transect walks",962
"157","WmB1","Hylaeus confusus",7,"wild bees","transect walks",962
"158","HO1","Bombus pascuorum",12,"wild bees","transect walks",828
"159","HO1","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",828
"160","HO1","Lasioglossum calceatum",8.5,"wild bees","transect walks",828
"161","HO1","Lasioglossum morio",5.5,"wild bees","transect walks",828
"162","HO2","Bombus hortorum",13.5,"wild bees","transect walks",1046
"163","HO2","Bombus pascuorum",12,"wild bees","transect walks",1046
"164","HO2","Bombus wurflenii",14.5,"wild bees","transect walks",1046
"165","H4","Megachile willughbiella",13.5,"wild bees","transect walks",1326
"166","H4","Bombus soroeensis",12,"wild bees","transect walks",1326
"167","H4","Chelostoma florisomne",9,"wild bees","transect walks",1326
"168","H5","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1580
"169","H5","Bombus soroeensis",12,"wild bees","transect walks",1580
"170","H5","Andrena subopaca",7,"wild bees","transect walks",1580
"171","H5","Panurginus herzi",6.5,"wild bees","transect walks",1580
"172","H5","Hylaeus confusus",7,"wild bees","transect walks",1580
"173","H5","Lasioglossum albipes",8,"wild bees","transect walks",1580
"174","H5","Bombus sylvestris",15,"wild bees","transect walks",1580
"175","H5","Bombus wurflenii",14.5,"wild bees","transect walks",1580
"176","H5","Panurginus montanus",6.5,"wild bees","transect walks",1580
"177","H6","Lasioglossum cupromicans",5.5,"wild bees","transect walks",1807
"178","H6","Bombus wurflenii",14.5,"wild bees","transect walks",1807
"179","H7","Andrena lapponica",12.5,"wild bees","transect walks",1986
"180","H7","Bombus mendax",15.5,"wild bees","transect walks",1986
"181","H7","Nomada alboguttata",8,"wild bees","transect walks",1986
"182","H7","Bombus hortorum",13.5,"wild bees","transect walks",1986
"183","WmA3","Bombus pascuorum",12,"wild bees","transect walks",1423
"184","WmA3","Bombus soroeensis",12,"wild bees","transect walks",1423
"185","WmA3","Osmia villosa",11,"wild bees","transect walks",1423
"186","WmA3","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1423
"187","WmA3","Bombus lapidarius",14,"wild bees","transect walks",1423
"188","WmA3","Bombus hortorum",13.5,"wild bees","transect walks",1423
"189","WmA3","Anthophora furcata",11.5,"wild bees","transect walks",1423
"190","WmB4","Bombus hortorum",13.5,"wild bees","transect walks",1654
"191","WmB4","Bombus pratorum",11.5,"wild bees","transect walks",1654
"192","WmB4","Bombus wurflenii",14.5,"wild bees","transect walks",1654
"193","WmB4","Bombus monticola",12.5,"wild bees","transect walks",1654
"194","WmB4","Bombus pascuorum",12,"wild bees","transect walks",1654
"195","WmB4","Bombus soroeensis",12,"wild bees","transect walks",1654
"196","WmB4","Osmia villosa",11,"wild bees","transect walks",1654
"197","H1","Lasioglossum albipes",8,"wild bees","transect walks",818
"198","H1","Halictus confusus",7,"wild bees","transect walks",818
"199","H2","Sphecodes gibbus",10,"wild bees","transect walks",985
"200","H2","Megachile willughbiella",13.5,"wild bees","transect walks",985
"201","H2","Lasioglossum calceatum",8.5,"wild bees","transect walks",985
"202","H2","Bombus wurflenii",14.5,"wild bees","transect walks",985
"203","H2","Bombus hortorum",13.5,"wild bees","transect walks",985
"204","H2","Megachile alpicola",9.5,"wild bees","transect walks",985
"205","H2","Bombus pascuorum",12,"wild bees","transect walks",985
"206","H2","Bombus soroeensis",12,"wild bees","transect walks",985
"207","H2","Halictus rubicundus",10.5,"wild bees","transect walks",985
"208","H2","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",985
"209","H3","Bombus pascuorum",12,"wild bees","transect walks",1106
"210","H3","Bombus hortorum",13.5,"wild bees","transect walks",1106
"211","H3","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1106
"212","H3","Bombus soroeensis",12,"wild bees","transect walks",1106
"213","H3","Lasioglossum calceatum",8.5,"wild bees","transect walks",1106
"214","H3","Heriades truncorum",6.5,"wild bees","transect walks",1106
"215","H3","Megachile willughbiella",13.5,"wild bees","transect walks",1106
"216","WmB2","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1139
"217","WmB2","Bombus hortorum",13.5,"wild bees","transect walks",1139
"218","WmB2","Bombus pratorum",11.5,"wild bees","transect walks",1139
"219","WmB2","Megachile willughbiella",13.5,"wild bees","transect walks",1139
"220","WmB2","Chelostoma florisomne",9,"wild bees","transect walks",1139
"221","W3","Anthidiellum strigatum",6.5,"wild bees","transect walks",1162
"222","W3","Hylaeus confusus",7,"wild bees","transect walks",1162
"223","W3","Bombus jonellus",11.5,"wild bees","transect walks",1162
"224","W3","Panurginus montanus",6.5,"wild bees","transect walks",1162
"225","W3","Halictus confusus",7,"wild bees","transect walks",1162
"226","W4","Bombus pascuorum",12,"wild bees","transect walks",1235
"227","W4","Halictus rubicundus",10.5,"wild bees","transect walks",1235
"228","W4","Hylaeus confusus",7,"wild bees","transect walks",1235
"229","WmB3","Bombus monticola",12.5,"wild bees","transect walks",1418
"230","WmB3","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1418
"231","WmB3","Bombus pascuorum",12,"wild bees","transect walks",1418
"232","WmB3","Lasioglossum calceatum",8.5,"wild bees","transect walks",1418
"233","WmB3","Megachile nigriventris",15,"wild bees","transect walks",1418
"234","WmB3","Trachusa byssina",11.5,"wild bees","transect walks",1418
"235","WmB3","Coelioxys inermis",9.5,"wild bees","transect walks",1418
"236","WmB3","Hylaeus sinuatus",5.5,"wild bees","transect walks",1418
"237","WmB3","Bombus pratorum",11.5,"wild bees","transect walks",1418
"238","WmA2","Bombus pascuorum",12,"wild bees","transect walks",1240
"239","WmA2","Bombus soroeensis",12,"wild bees","transect walks",1240
"240","WmA2","Bombus wurflenii",14.5,"wild bees","transect walks",1240
"241","WmA2","Megachile ligniseca",14,"wild bees","transect walks",1240
"242","WmA2","Bombus barbutellus",18,"wild bees","transect walks",1240
"243","WmA2","Bombus hortorum",13.5,"wild bees","transect walks",1240
"244","WmA4","Bombus monticola",12.5,"wild bees","transect walks",1770
"245","WmA4","Bombus wurflenii",14.5,"wild bees","transect walks",1770
"246","WmA4","Bombus pascuorum",12,"wild bees","transect walks",1770
"247","WmA4","Bombus soroeensis",12,"wild bees","transect walks",1770
"248","WmA4","Bombus pratorum",11.5,"wild bees","transect walks",1770
"249","WmA5","Bombus pratorum",11.5,"wild bees","transect walks",2034
"250","WmA5","Bombus pyrenaeus",10.5,"wild bees","transect walks",2034
"251","WmA5","Bombus soroeensis",12,"wild bees","transect walks",2034
"252","WmA5","Bombus bohemicus",24,"wild bees","transect walks",2034
"253","WmA5","Bombus hortorum",13.5,"wild bees","transect walks",2034
"254","WmB5","Bombus pascuorum",12,"wild bees","transect walks",1812
"255","WmB5","Bombus soroeensis",12,"wild bees","transect walks",1812
"256","WmB5","Bombus lapidarius",14,"wild bees","transect walks",1812
"257","WmB5","Bombus monticola",12.5,"wild bees","transect walks",1812
"258","WmB5","Bombus pratorum",11.5,"wild bees","transect walks",1812
"259","WmB5","Osmia villosa",11,"wild bees","transect walks",1812
"260","W6","Lasioglossum calceatum",8.5,"wild bees","transect walks",1805
"261","W6","Bombus wurflenii",14.5,"wild bees","transect walks",1805
"262","W6","Bombus monticola",12.5,"wild bees","transect walks",1805
"263","W6","Bombus mendax",15.5,"wild bees","transect walks",1805
"264","W6","Bombus hortorum",13.5,"wild bees","transect walks",1805
"265","W6","Bombus soroeensis",12,"wild bees","transect walks",1805
"266","W6","Bombus pyrenaeus",10.5,"wild bees","transect walks",1805
"267","W6","Bombus ruderarius",12.5,"wild bees","transect walks",1805
"268","W6","Bombus pratorum",11.5,"wild bees","transect walks",1805
"269","W7","Bombus pyrenaeus",10.5,"wild bees","transect walks",2017
"270","W7","Bombus pascuorum",12,"wild bees","transect walks",2017
"271","W7","Bombus mucidus",14,"wild bees","transect walks",2017
"272","W7","Bombus wurflenii",14.5,"wild bees","transect walks",2017
"273","W7","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",2017
"274","W7","Bombus mendax",15.5,"wild bees","transect walks",2017
"275","W7","Bombus soroeensis",12,"wild bees","transect walks",2017
"276","HO3","Bombus soroeensis",12,"wild bees","transect walks",1332
"277","HO3","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1332
"278","HO3","Hylaeus confusus",7,"wild bees","transect walks",1332
"279","HO3","Osmia mitis",8,"wild bees","transect walks",1332
"280","HO3","Megachile willughbiella",13.5,"wild bees","transect walks",1332
"281","HO4","Osmia mitis",8,"wild bees","transect walks",1546
"282","HO4","Bombus pascuorum",12,"wild bees","transect walks",1546
"283","HO4","Bombus soroeensis",12,"wild bees","transect walks",1546
"284","HO4","Megachile willughbiella",13.5,"wild bees","transect walks",1546
"285","HO4","Bombus hortorum",13.5,"wild bees","transect walks",1546
"286","HO4","Bombus mendax",15.5,"wild bees","transect walks",1546
"287","HO4","Bombus mucidus",14,"wild bees","transect walks",1546
"288","HO4","Lasioglossum albipes",8,"wild bees","transect walks",1546
"289","HO5","Bombus sylvestris",15,"wild bees","transect walks",1821
"290","HO5","Bombus pascuorum",12,"wild bees","transect walks",1821
"291","T1","Lasioglossum leucozonium",9,"wild bees","transect walks",716
"292","T1","Anthidium oblongatum",9,"wild bees","transect walks",716
"293","T1","Bombus humilis",12,"wild bees","transect walks",716
"294","T1","Hylaeus sinuatus",5.5,"wild bees","transect walks",716
"295","T4","Halictus tumulorum",7,"wild bees","transect walks",644
"296","T4","Lasioglossum morio",5.5,"wild bees","transect walks",644
"297","T4","Lasioglossum pauxillum",5.5,"wild bees","transect walks",644
"298","T4","Megachile alpicola",9.5,"wild bees","transect walks",644
"299","T4","Lasioglossum villosulum",6.5,"wild bees","transect walks",644
"300","T4","Coelioxys alata",12,"wild bees","transect walks",644
"301","T4","Halictus scabiosae",13.5,"wild bees","transect walks",644
"302","T5","Megachile willughbiella",13.5,"wild bees","transect walks",749
"303","T5","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",749
"304","T5","Hylaeus sinuatus",5.5,"wild bees","transect walks",749
"305","T5","Bombus lapidarius",14,"wild bees","transect walks",749
"306","H1","Lasioglossum leucozonium",9,"wild bees","transect walks",818
"307","H1","Bombus soroeensis",12,"wild bees","transect walks",818
"308","H1","Lasioglossum leucopus",5,"wild bees","transect walks",818
"309","H1","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",818
"310","H2","Bombus lapidarius",14,"wild bees","transect walks",985
"311","H2","Lasioglossum leucozonium",9,"wild bees","transect walks",985
"312","H2","Megachile centuncularis",11.5,"wild bees","transect walks",985
"313","W1","Bombus hortorum",13.5,"wild bees","transect walks",815
"314","W1","Lasioglossum leucozonium",9,"wild bees","transect walks",815
"315","W1","Bombus pratorum",11.5,"wild bees","transect walks",815
"316","W2","Bombus hortorum",13.5,"wild bees","transect walks",1016
"317","W2","Bombus soroeensis",12,"wild bees","transect walks",1016
"318","W2","Bombus wurflenii",14.5,"wild bees","transect walks",1016
"319","W2","Lasioglossum albipes",8,"wild bees","transect walks",1016
"320","W5","Lasioglossum albipes",8,"wild bees","transect walks",1446
"321","WmB1","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",962
"322","WmB1","Megachile ligniseca",14,"wild bees","transect walks",962
"323","WmB2","Bombus soroeensis",12,"wild bees","transect walks",1139
"324","WmB2","Bombus gerstaeckeri",16,"wild bees","transect walks",1139
"325","WmB2","Bombus sylvestris",15,"wild bees","transect walks",1139
"326","HO1","Bombus barbutellus",18,"wild bees","transect walks",828
"327","HO1","Bombus campestris",16.5,"wild bees","transect walks",828
"328","HO1","Bombus hortorum",13.5,"wild bees","transect walks",828
"329","HO1","Bombus rupestris",20,"wild bees","transect walks",828
"330","HO1","Bombus sylvestris",15,"wild bees","transect walks",828
"331","HO1","Bombus wurflenii",14.5,"wild bees","transect walks",828
"332","HO1","Megachile ligniseca",14,"wild bees","transect walks",828
"333","HO2","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1046
"334","HO2","Bombus sylvestris",15,"wild bees","transect walks",1046
"335","HO2","Bombus pratorum",11.5,"wild bees","transect walks",1046
"336","HO3","Bombus sylvestris",15,"wild bees","transect walks",1332
"337","HO3","Melitta haemorrhoidalis",12.5,"wild bees","transect walks",1332
"338","HO3","Bombus pyrenaeus",10.5,"wild bees","transect walks",1332
"339","HO5","Lasioglossum fratellum",7,"wild bees","transect walks",1821
"340","HO5","Bombus soroeensis",12,"wild bees","transect walks",1821
"341","HO5","Bombus mucidus",14,"wild bees","transect walks",1821
"342","HO5","Bombus monticola",12.5,"wild bees","transect walks",1821
"343","WmA2","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1240
"344","WmA3","Bombus gerstaeckeri",16,"wild bees","transect walks",1423
"345","WmA3","Osmia parietina",8.5,"wild bees","transect walks",1423
"346","WmA3","Bombus sylvestris",15,"wild bees","transect walks",1423
"347","WmA3","Hylaeus confusus",7,"wild bees","transect walks",1423
"348","WmA3","Lasioglossum fratellum",7,"wild bees","transect walks",1423
"349","W3","Lasioglossum fratellum",7,"wild bees","transect walks",1162
"350","W6","Panurginus herzi",6.5,"wild bees","transect walks",1805
"351","W6","Lasioglossum fulvicorne",6.5,"wild bees","transect walks",1805
"352","W7","Dufourea alpina",6,"wild bees","transect walks",2017
"353","W7","Bombus sylvestris",15,"wild bees","transect walks",2017
"354","WmA4","Bombus pyrenaeus",10.5,"wild bees","transect walks",1770
"355","WmB4","Andrena ovatula",9.5,"wild bees","transect walks",1654
"356","WmB4","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1654
"357","WmB4","Panurginus herzi",6.5,"wild bees","transect walks",1654
"358","WmB5","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1812
"359","H6","Bombus pratorum",11.5,"wild bees","transect walks",1807
"360","H6","Bombus lucorum_terrestris",12.5,"wild bees","transect walks",1807
"361","H6","Bombus pascuorum",12,"wild bees","transect walks",1807
"362","H6","Lasioglossum fratellum",7,"wild bees","transect walks",1807
"363","H6","Bombus pyrenaeus",10.5,"wild bees","transect walks",1807
"364","H4","Lasioglossum calceatum",8.5,"wild bees","transect walks",1326
"365","H5","Lasioglossum leucozonium",9,"wild bees","transect walks",1580
"366","H5","Lasioglossum calceatum",8.5,"wild bees","transect walks",1580
"367","H3","Pieris bryoniae",23,"butterflies","transect walks",1106
"368","H3","Vanessa cardui",30.5,"butterflies","transect walks",1106
"369","H3","Anthocharis cardamines",21.5,"butterflies","transect walks",1106
"370","H3","Pyrgus andromedae",15.5,"butterflies","transect walks",1106
"371","H3","Aglais urticae",24,"butterflies","transect walks",1106
"372","H3","Pieris rapae",25,"butterflies","transect walks",1106
"373","H3","Pararge aegeria",20,"butterflies","transect walks",1106
"374","HO3","Pieris bryoniae",23,"butterflies","transect walks",1332
"375","HO3","Cupido minimus",11.5,"butterflies","transect walks",1332
"376","HO3","Pyrgus andromedae",15.5,"butterflies","transect walks",1332
"377","HO3","Carterocephalus palaemon",14.5,"butterflies","transect walks",1332
"378","HO3","Erynnis tages",13.5,"butterflies","transect walks",1332
"379","HO3","Vanessa atalanta",29.5,"butterflies","transect walks",1332
"380","HO3","Papilio machaon",38.5,"butterflies","transect walks",1332
"381","HO2","Pyrgus andromedae",15.5,"butterflies","transect walks",1046
"382","HO2","Aglais urticae",24,"butterflies","transect walks",1046
"383","HO2","Pieris bryoniae",23,"butterflies","transect walks",1046
"384","HO2","Aporia crataegi",31.5,"butterflies","transect walks",1046
"385","HO2","Lasiommata petropolitana",22,"butterflies","transect walks",1046
"386","HO2","Araschnia levana",17.5,"butterflies","transect walks",1046
"387","HO2","Carterocephalus palaemon",14.5,"butterflies","transect walks",1046
"388","HO2","Cupido minimus",11.5,"butterflies","transect walks",1046
"389","HO2","Anthocharis cardamines",21.5,"butterflies","transect walks",1046
"390","T1","Pieris bryoniae",23,"butterflies","transect walks",716
"391","T1","Coenonympha pamphilus",16,"butterflies","transect walks",716
"392","T1","Vanessa cardui",30.5,"butterflies","transect walks",716
"393","T1","Polyommatus icarus",15,"butterflies","transect walks",716
"394","T1","Pieris brassicae",31.5,"butterflies","transect walks",716
"395","T1","Aglais urticae",24,"butterflies","transect walks",716
"396","WmB2","Aglais urticae",24,"butterflies","transect walks",1139
"397","WmB2","Anthocharis cardamines",21.5,"butterflies","transect walks",1139
"398","WmB2","Vanessa cardui",30.5,"butterflies","transect walks",1139
"399","WmB2","Leptidea sinapis",21,"butterflies","transect walks",1139
"400","T4","Polyommatus bellargus",16,"butterflies","transect walks",644
"401","T4","Coenonympha pamphilus",16,"butterflies","transect walks",644
"402","T4","Aricia agestis",13.75,"butterflies","transect walks",644
"403","W4","Vanessa cardui",30.5,"butterflies","transect walks",1235
"404","W4","Anthocharis cardamines",21.5,"butterflies","transect walks",1235
"405","W4","Callophrys rubi",14.5,"butterflies","transect walks",1235
"406","W4","Aglais urticae",24,"butterflies","transect walks",1235
"407","W4","Lasiommata petropolitana",22,"butterflies","transect walks",1235
"408","W5","Callophrys rubi",14.5,"butterflies","transect walks",1446
"409","W5","Pieris bryoniae",23,"butterflies","transect walks",1446
"410","W5","Aglais urticae",24,"butterflies","transect walks",1446
"411","WmA5","Aglais urticae",24,"butterflies","transect walks",2034
"412","WmB4","Aglais urticae",24,"butterflies","transect walks",1654
